id;nom;id_region
default;Ambatondrazaka;1
default;Amparafaravola;1
default;Andilamena;1
default;Anosibe An'ala;1
default;Moramanga;1
default;Ambatofinandrahana;2
default;Ambositra;2
default;Fandriana;2
default;Manandriana;2
default;Ambohidratrimo;3
default;Andramasina;3
default;Anjozorobe;3
default;Ankazobe;3
default;Antananarivo Atsimondrano;3
default;Antananarivo Avaradrano;3
default;Antananarivo Renivohitra;3
default;Manjakandriana;3
default;Fenoarivo Atsinanana;4
default;Mananara Avaratra;4
default;Maroantsetra;4
default;Nosy Boraha (Sainte Marie);4
default;Soanierana Ivongo;4
default;Vavatenina;4
default;Ambovombe Androy;5
default;Bekily;5
default;Beloha Androy;5
default;Tsihombe;5
default;Amboasary Sud;6
default;Betroka;6
default;Taolagnaro;6
default;Ampanihy Ouest;7
default;Ankazoabo Atsimo;7
default;Benenitra;7
default;Beroroha;7
default;Betioky Atsimo;7
default;Morombe;7
default;Sakaraha;7
default;Toliara I;7
default;Toliara II;7
default;Befotaka;8
default;Farafangana;8
default;Midongy du Sud;8
default;Vangaindrano;8
default;Vondrozo;8
default;Antanambao Manampontsy;9
default;Mahanoro;9
default;Marolambo;9
default;Toamasina I;9
default;Toamasina II;9
default;Vatomandry;9
default;Vohibinany (Brickaville);9
default;Kandreho;10
default;Maevatanana;10
default;Tsaratanana;10
default;Ambatoboeny;11
default;Mahajanga I;11
default;Mahajanga II;11
default;Marovoay;11
default;Mitsinjo;11
default;Soalala;11
default;Fenoarivobe;12
default;Tsiroanomandidy;12
default;Ambanja;13
default;Ambilobe;13
default;Antsiranana I;13
default;Antsiranana II;13
default;Nosy Be;13
default;Ikongo (Fort_Carnot);14
default;Manakara Atsimo;14
default;Vohipeno;14
default;Ambalavao;15
default;Ambohimahasoa;15
default;Fianarantsoa I;15
default;Ikalamavony;15
default;Isandra;15
default;Lalangina;15
default;Vohibato;15
default;Iakora;16
default;Ihosy;16
default;Ivohibe;16
default;Arivonimamo;17
default;Miarinarivo;17
default;Soavinandriana;17
default;Ambatomainty;18
default;Antsalova;18
default;Besalampy;18
default;Maintirano;18
default;Morafenobe;18
default;Belo Sur Tsiribihina;19
default;Mahabo;19
default;Manja;19
default;Miandrivazo;19
default;Morondava;19
default;Andapa;20
default;Antalaha;20
default;Sambava;20
default;Vohimarina (Vohémar);20
default;Analalava;21
default;Antsohihy;21
default;Bealanana;21
default;Befandriana Avaratra;21
default;Boriziny (Port Berge);21
default;Mampikony;21
default;Mandritsara;21
default;Ambatolampy;22
default;Antanifotsy;22
default;Antsirabe I;22
default;Antsirabe II;22
default;Betafo;22
default;Faratsiho;22
default;Mandoto;22
default;Ifanadiana;23
default;Mananjary;23
default;Nosy Varika;23
